Código Jurisdicción,Descripción Jurisdicción,Código Subjurisdicción,Descripción Subjurisdicción,Código Entidad,Descripción Entidad,Código Finalidad Función,Descripción Finalidad Función,Crédito 2021
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,1.1,Legislativa,32857846363
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,1.2,Judicial,861503000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,1.7,Control de la Gestión Pública,123680250
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,3.1,Salud,2960186243
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,3.4,Educación y Cultura,3470010035
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,1,Auditoría General de la Nación,1.7,Control de la Gestión Pública,4435945273
5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,1.2,Judicial,81459542649
5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,3.3,Seguridad Social,259086000
10,Ministerio Público,0,Ministerio Público,0,Ministerio Público,1.2,Judicial,36059411716
20,Presidencia de la Nación,0,Presidencia de la Nación,109,Sindicatura General de la Nación,1.7,Control de la Gestión Pública,1223552364
20,Presidencia de la Nación,0,Presidencia de la Nación,112,Autoridad Regulatoria Nuclear,4.1,"Energía, Combustibles y Minería",1292994591
20,Presidencia de la Nación,0,Presidencia de la Nación,917,Agencia Nacional de Discapacidad,3.1,Salud,36864519815
20,Presidencia de la Nación,0,Presidencia de la Nación,917,Agencia Nacional de Discapacidad,3.2,Promoción y Asistencia Social,1564929632
20,Presidencia de la Nación,0,Presidencia de la Nación,917,Agencia Nacional de Discapacidad,3.3,Seguridad Social,199076211901
20,Presidencia de la Nación,0,Presidencia de la Nación,917,Agencia Nacional de Discapacidad,3.4,Educación y Cultura,4530000
20,Presidencia de la Nación,1,Secretaría General,0,Secretaría General,1.3,Dirección Superior Ejecutiva,15192402529
20,Presidencia de la Nación,2,Secretaría Legal y Técnica,0,Secretaría Legal y Técnica,1.3,Dirección Superior Ejecutiva,609376237
20,Presidencia de la Nación,8,Agencia Federal de Inteligencia,0,Agencia Federal de Inteligencia,2.4,Inteligencia,3518740505
20,Presidencia de la Nación,16,Consejo Nacional de Coordinación de Políticas Sociales,0,Consejo Nacional de Coordinación de Políticas Sociales,3.2,Promoción y Asistencia Social,1069862000
20,Presidencia de la Nación,17,Secretaría de Comunicación y Prensa,0,Secretaría de Comunicación y Prensa,1.3,Dirección Superior Ejecutiva,779702382
25,Jefatura de Gabinete de Ministros,0,Jefatura de Gabinete de Ministros,205,Agencia de Administración de Bienes del Estado,1.6,Administración Fiscal,1026115000
25,Jefatura de Gabinete de Ministros,0,Jefatura de Gabinete de Ministros,207,Ente Nacional de Comunicaciones,4.2,Comunicaciones,3967419989
25,Jefatura de Gabinete de Ministros,0,Jefatura de Gabinete de Ministros,209,Agencia de Acceso a la Información Pública,1.3,Dirección Superior Ejecutiva,81158294
25,Jefatura de Gabinete de Ministros,1,Jefatura de Gabinete de Ministros,0,Jefatura de Gabinete de Ministros,1.3,Dirección Superior Ejecutiva,3699855059
25,Jefatura de Gabinete de Ministros,1,Jefatura de Gabinete de Ministros,0,Jefatura de Gabinete de Ministros,1.6,Administración Fiscal,86663941
25,Jefatura de Gabinete de Ministros,1,Jefatura de Gabinete de Ministros,0,Jefatura de Gabinete de Ministros,3.2,Promoción y Asistencia Social,182586187
25,Jefatura de Gabinete de Ministros,1,Jefatura de Gabinete de Ministros,0,Jefatura de Gabinete de Ministros,3.4,Educación y Cultura,130000000
25,Jefatura de Gabinete de Ministros,2,Secretaría de Políticas Integrales sobre Drogas de la Nación Argentina (SEDRONAR),0,Secretaría de Políticas Integrales sobre Drogas de la Nación Argentina (SEDRONAR),3.2,Promoción y Asistencia Social,3155134395
25,Jefatura de Gabinete de Ministros,3,Secretaría de Medios y Comunicación Pública,0,Secretaría de Medios y Comunicación Pública,1.3,Dirección Superior Ejecutiva,4239039854
25,Jefatura de Gabinete de Ministros,4,Secretaría de Innovación Pública,0,Secretaría de Innovación Pública,1.3,Dirección Superior Ejecutiva,2147973556
25,Jefatura de Gabinete de Ministros,4,Secretaría de Innovación Pública,0,Secretaría de Innovación Pública,4.2,Comunicaciones,2755057086
30,Ministerio del Interior,0,Ministerio del Interior,0,Ministerio del Interior,1.5,Relaciones Interiores,50346694026
30,Ministerio del Interior,0,Ministerio del Interior,0,Ministerio del Interior,1.8,Información y Estadística Básicas,138393218
